Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,0.5,6.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon Cognito,0,0.5,6.00,USD,"Advanced security features (Enabled), Number of monthly active users (MAU) (10)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
